Id,Id2,Total; Estimate; Total population,Total; Estimate; AGE - Under 5 years,Total; Estimate; AGE - 5 to 17 years,Total; Estimate; AGE - 18 to 24 years,Total; Estimate; AGE - 25 to 44 years,Total; Estimate; AGE - 45 to 54 years,Total; Estimate; AGE - 55 to 64 years,Total; Estimate; AGE - 65 to 74 years,Total; Estimate; AGE - 75 years and over,Total; Estimate; Median age (years),Total; Estimate; SEX - Male,Total; Estimate; SEX - Female,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,"Total; Estimate; White alone, not Hispanic or Latino",Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate,Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Total; Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over,"Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $1 to $9,999 or loss","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $10,000 to $14,999","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $15,000 to $24,999","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $25,000 to $34,999","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $35,000 to $49,999","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $50,000 to $64,999","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $65,000 to $74,999","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $75,000 or more",Total; Estimate; Median income (dollars),Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Population for whom poverty status is determined,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Population for whom poverty status is determined - Below 100 percent of the poverty level,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Population for whom poverty status is determined - 100 to 149 percent of the poverty level,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Population for whom poverty status is determined - At or above 150 percent of the poverty level
8600000US21756,21756,3706,3.6,22.2,6.3,27.8,16.7,14.7,6.9,1.8,40.8,52.3,47.7,98.1,95.5,2.3,0.1,0.1,0,0.1,94.9,2517,11,32.1,32.1,14.9,9.9,3.8,2918,11.9,6.5,17.1,5.9,10.2,13.7,5.7,16.7,39534,3687,6.2,5.2,88.6
8600000US21757,21757,2961,4.3,14.8,6.8,20.3,26.1,11.4,8.9,7.3,46.9,52.9,47.1,99,97.9,0.7,0.3,0.2,0,0,93.2,2194,19.7,44.5,23.6,8.2,4,2.4,2582,12.3,7,12.5,14.2,17.5,6.8,4.3,12.2,33712,2923,3.5,7.5,89
8600000US21758,21758,4759,7.1,16.2,5.7,20.8,20.4,14.1,8.3,7.4,45.2,50.4,49.6,99,91.1,6.9,0.6,0.3,0,0,88.3,3379,7,34,24.1,23.4,11.5,3.3,3798,8.5,3.7,15.1,10.9,13.2,13.6,3.4,20.2,42141,4759,4.4,2,93.6
8600000US21762,21762,180,0,8.3,22.8,17.2,26.7,6.1,3.9,15,48.1,37.2,62.8,100,100,0,0,0,0,0,100,124,5.6,60.5,15.3,18.5,0,22.8,165,12.1,0,21.2,18.8,4.8,0,0,26.1,31406,180,0,0,100
8600000US21766,21766,497,0,12.5,11.1,21.9,1.4,18.5,19.7,14.9,57,48.9,51.1,100,98.4,1.6,0,0,0,0,98.4,380,15.8,53.4,13.4,10.8,6.6,9.2,453,28.9,17.2,15,6.2,10.4,16.3,0,2,15708,497,10.5,6,83.5
8600000US21767,21767,1148,6.6,23.1,16.6,22.5,15.2,6.1,3.5,6.5,26,39.8,60.2,100,90.9,7,0,0,0,2.1,87.8,617,15.2,32.1,33.4,17.5,1.8,3,807,21.7,6.1,10.4,26.8,15,3,0,2.6,25995,1148,24.8,18.6,56.5
8600000US21769,21769,11190,5.1,18.4,7.7,19.5,20,15.2,10.3,3.9,44.5,52.1,47.9,98.3,94.6,1.4,0.2,2,0,0.1,91.3,7700,3.9,25,26.9,25.9,18.4,3.1,9251,15.1,5.4,10.2,9,10.5,10.4,3.6,25.2,41217,11190,2.5,2.9,94.5
8600000US21770,21770,5457,3.2,19.5,9.8,18.8,22.6,15.8,7.5,2.7,44.5,50.2,49.8,97.4,94.5,1.7,0,1.1,0,0,89.7,3680,7.7,25.5,24.8,27.9,14,3.6,4473,12.5,6.9,8.8,9.5,13,13.3,5.3,23.4,45766,5438,1,3,96
8600000US21771,21771,29558,4.7,20.4,9.7,19.5,18.1,15.3,7.1,5.2,42.2,49.3,50.7,98,94.2,1.9,0.4,1.3,0,0.2,93.1,19264,6.1,24.9,29.2,24.3,15.5,1.7,23857,13.8,6.3,10.4,8,11.4,9,5.2,25.4,42681,29386,2.7,2,95.3
8600000US21773,21773,5422,3.4,19.2,6.7,20.1,20.3,12.9,9.3,8.1,45.4,51.5,48.5,99.4,97,0.5,0.1,1.2,0,0.6,95,3832,8.2,31.4,24.6,21.9,13.8,3,4436,13.1,6.9,11.3,9.4,14.2,13.3,3.9,19.4,39760,5422,2.8,2,95.1
8600000US21774,21774,12425,6.3,24.2,5.8,28.5,17.4,9.8,5,2.9,38.6,49.1,50.9,97.7,90.1,4,0.1,3,0.1,0.5,85.4,7912,5,18.9,26.5,26.4,23.1,3.3,9285,11.8,5.6,6.8,7.1,10.4,9.8,6.1,30.6,56109,12421,3,2.1,94.9
8600000US21776,21776,5251,5.5,14.3,9.7,20.4,21.1,15.4,10.6,3.1,45.1,50.3,49.7,98.2,91.1,3.7,0,2.3,0,1.2,90.5,3702,6.2,33.8,30.3,19.6,10.2,2.6,4410,14.4,5.4,11.5,10.7,13.8,10,4.8,21.9,38078,5236,5.2,2.2,92.6
8600000US21777,21777,1700,4.9,22.9,8.7,25.5,23.1,9.2,4.4,1.3,37.7,50.6,49.4,97.1,76.7,19.7,0,0.4,0,0.3,73.4,1079,4.1,29.7,20,23.7,22.4,7.4,1328,12.6,4.1,11.4,7.3,12.1,11.8,3,24.8,46515,1700,4.1,1.6,94.2
8600000US21778,21778,1141,3.8,16.6,15.5,23.1,19.2,12.2,6.7,3,39.7,47.4,52.6,97.1,73.2,1.6,0,0.8,0,21.6,73.2,732,11.3,46.4,20.2,9.4,12.6,7.9,964,19.2,9.8,9.3,10.8,11.5,14.1,6.5,10.1,32829,1141,5.2,3.6,91.2
8600000US21779,21779,853,5.5,14.8,8.9,23.1,20.3,14.8,7.2,5.5,44.5,54.7,45.3,95.4,90.4,2.7,1.8,0.6,0,0,90.4,604,0,33.3,28.8,14.9,23,10.8,746,7.4,4.4,5.2,11.8,14.9,12.2,3.8,31.2,51711,853,4,0,96
8600000US21780,21780,1623,5.9,15.8,6.5,25.5,15.7,14.8,8.3,7.5,39.9,54.7,45.3,99,93.7,4.3,0,1.1,0,0,92.8,1166,8.1,46.8,31.7,9.2,4.2,3.5,1369,16.9,12.8,13.7,9.7,11.5,16.2,3.9,5.1,26667,1505,12,5,83.1
8600000US21781,21781,93,0,8.6,91.4,0,0,0,0,0,19.8,45.2,54.8,100,60.2,32.3,0,7.5,0,0,60.2,0,-,-,-,-,-,**,93,47.3,0,0,0,0,9.7,0,0,5583,2,100,0,0
8600000US21782,21782,4367,4.5,17,7.5,25.3,15.5,17.9,7.1,5.2,42.2,50,50,97.4,96.1,0.8,0.1,0.2,0.3,0,95.1,3100,14,43,24.8,11.8,6.4,2.7,3653,12.7,10.2,14.2,11.7,11.9,10,4.9,11.8,30103,4295,9.5,2.5,88
8600000US21783,21783,9031,8.3,16.6,6.3,24.3,15.6,14.8,8.2,6,42.1,49.1,50.9,97.7,94.5,1.7,0.1,0.6,0,0.8,93.1,6217,9.8,36.3,26.9,18.3,8.7,2,7096,12.6,6.6,14.4,13,13.7,12.7,5.9,12,34280,8839,5.4,5.4,89.2
8600000US21784,21784,39696,4.8,19.6,7.5,21.8,18.9,12.7,8,6.7,42.5,49.9,50.1,97.9,91.6,3.3,0.2,2.6,0,0.2,89.4,27021,6.1,25.5,27.3,25.1,16,1.5,32136,13.5,6.8,10.5,8.4,11.1,8.7,5.5,25.1,42002,38687,2.8,3.4,93.8
8600000US21787,21787,11531,5.8,20.7,7.9,23.3,16.8,9.6,9.6,6.2,40.6,48.5,51.5,97.8,92.2,3.6,0.1,1.4,0,0.5,91.1,7556,9.2,43.6,27.6,12.7,6.9,2.2,9162,13.6,5.9,12.3,15.9,12.7,10.6,5.6,11.9,32186,11440,9.5,4,86.4
8600000US21788,21788,11794,4.5,17.7,9.6,22.9,16.3,14.5,8.7,5.9,41.9,50.7,49.3,98.7,97.3,0.9,0.1,0.2,0,0.1,95,8047,10.5,38.6,27.8,14.6,8.4,1.9,9662,14.8,5.5,13.4,10.5,13.1,12,5.7,13.4,34923,11794,5.6,5.8,88.6
8600000US21790,21790,45,0,0,0,0,20,26.7,13.3,40,74.3,40,60,100,100,0,0,0,0,0,80,45,0,100,0,0,0,44.2,45,0,33.3,0,40,0,26.7,0,0,31042,45,0,13.3,86.7
8600000US21791,21791,5643,5.8,19.6,6.5,25.5,15.4,12.4,9.6,5.2,40.6,51,49,99.4,93.6,4,0.1,0.5,0,1.3,91.8,3846,8.1,39.8,29.1,15.2,7.8,2.3,4466,14.9,8,13,9.1,12.8,11.1,4.7,16.2,34695,5639,9.3,5.4,85.3
8600000US21793,21793,10149,6.2,20.5,6.2,24.5,14,14.3,9.8,4.5,38.7,48.2,51.8,96.2,87.5,6.1,0.2,1.8,0,0.6,84.1,6814,6.9,28.1,31,19.7,14.5,2.7,7995,12.1,6.7,13.6,9.6,11.7,10.3,7.7,17.5,39547,9898,3.8,6,90.2
8600000US21794,21794,2421,2.7,20.6,7.1,17.2,22.9,16.6,10.4,2.4,47.3,55.6,44.4,96.4,71.3,4.5,0,20.1,0,0.5,67.8,1684,4,9.1,17,34.1,35.9,7.7,2059,12.6,4,9.5,2,4.3,5.2,2.3,39.7,71923,2421,0.6,2.9,96.6
8600000US21795,21795,9225,6.1,13.7,8.3,21.6,16.9,12.4,8.9,11.9,45.2,48.1,51.9,99.1,94.2,2.7,0.1,1.9,0.1,0.2,93.8,6628,12.9,41.9,28.7,9.5,7,2.1,7691,15.3,8.4,15.6,12.5,15.3,11.6,4.2,9.3,29894,9017,6.8,4.6,88.6
8600000US21797,21797,8160,2.2,19.8,8.8,16.3,22.8,15.8,9.5,4.8,46.5,50.3,49.7,98.7,94.2,1.6,0,2.4,0,0.4,91.8,5645,4.7,27.9,24.9,23.8,18.7,3.8,6765,16.8,3.5,8.8,8.3,9.3,9.3,5.5,28.6,46170,8125,4.7,1.6,93.7
8600000US21798,21798,2647,5.1,19.4,8.3,24.4,19.3,10.6,7.8,5.1,41.4,50.8,49.2,96.4,92.5,0.9,0.1,1.5,0.2,1.3,91.4,1778,8.9,29.5,28,21.1,12.5,3.8,2169,14.6,7.4,9.3,10.6,7.9,10.6,6.2,21.5,37692,2647,4.8,6.3,88.9
8600000US21801,21801,31052,6.1,16.1,18.5,21.5,12.5,11.5,7.8,6,33.3,46,54,96.6,58,32.3,0.9,3.8,0,1.6,53.8,18408,16.4,29.1,23.1,16.6,14.8,2.2,25359,23.2,10.2,12.4,9.5,11.8,7.8,4,9,23089,28857,16.3,8,75.7
8600000US21802,21802,66,0,0,12.1,51.5,0,22.7,0,13.6,35.5,63.6,36.4,100,87.9,12.1,0,0,0,0,87.9,58,39.7,44.8,15.5,0,0,38.9,66,37.9,22.7,12.1,13.6,0,0,0,0,10583,66,51.5,22.7,25.8
8600000US21804,21804,37988,6.9,14.6,18.1,22.9,13.1,11.4,6.6,6.2,32.8,48,52,98,68.7,24.7,0.1,2.8,0,1.6,65.8,22921,10.4,30.2,29.5,18.3,11.6,1.6,30940,21.9,8,16.5,10.4,14.3,6.9,2.8,8.4,23817,36813,21.8,9.4,68.9
8600000US21810,21810,334,15,4.5,0,27.2,26.3,14.1,12.9,0,46.2,29.6,70.4,100,85,15,0,0,0,0,85,269,14.5,0.7,52,17.5,15.2,22.5,269,19,0,15.2,0,15.2,29.7,0,20.8,62547,334,14.1,0,85.9
8600000US21811,21811,20994,4.1,11.5,6,18.8,14.5,16.6,15.9,12.6,52,45.7,54.3,98.9,85.3,11.6,0.3,1.2,0.2,0.4,82.8,16456,9.1,29.6,30,19.3,12,1.5,18242,15.5,9.9,16.1,11.3,13.1,10.1,3.9,13.3,28779,20795,7.4,9.5,83.1
8600000US21813,21813,2614,4.9,22.8,3.5,21,17.3,14.7,8.1,7.6,43.6,52.5,47.5,99.2,90.4,8.8,0,0,0,0,89.7,1797,7.7,29.9,23.9,24.3,14.2,6.9,2144,12.1,9.8,9.8,7.2,13.6,11.8,3.2,17.8,40000,2614,7.3,3.3,89.4
8600000US21814,21814,566,2.5,16.4,0,13.4,7.1,45.9,8.1,6.5,55.7,52.3,47.7,100,72.3,27.7,0,0,0,0,72.3,459,21.1,48.4,24.6,3.1,2.8,5.1,459,29.6,4.8,3.5,13.3,5.9,9.6,0,5.7,23750,566,29.7,3.9,66.4
8600000US21817,21817,5049,5.5,22.1,6.1,20.2,11.3,15.2,11.7,7.9,41.7,48.2,51.8,94.5,70.3,22.8,0.2,0.6,0,0.6,68.1,3349,18.6,39.7,26.3,8.4,6.9,2.8,3816,19.7,13.2,17.1,10.5,11.7,6.7,2.2,4.9,20837,4961,33.3,7.3,59.4
8600000US21821,21821,896,5,5.8,1.2,13.2,16.7,20.3,20.4,17.3,57.7,49.8,50.2,98,91.1,6.9,0,0,0,0,90.2,788,14.6,44.4,26.9,5.7,8.4,5.2,805,18,12.3,14.2,16.9,14.3,6.8,4.2,2.2,25000,896,19,12.8,68.2
8600000US21822,21822,2039,3,12.1,18.2,18.7,18.2,14.5,8.7,6.4,43.4,45,55,100,80.8,17.7,0,1.5,0,0,80.8,1359,27.2,27.5,22.6,12.2,10.4,4.9,1827,19.6,11.5,10.3,18.3,6.6,5.1,6.8,9.6,25830,2039,12.5,5.5,82
8600000US21824,21824,122,5.7,5.7,0,18,9,19.7,32,9.8,61.3,56.6,43.4,100,100,0,0,0,0,0,100,108,26.9,39.8,25,3.7,4.6,6.5,108,43.5,0,15.7,2.8,14.8,0,4.6,4.6,9922,122,26.2,39.3,34.4
8600000US21826,21826,5250,6.2,18.9,12.4,29.6,11.1,9.1,7.8,4.8,34.5,46.6,53.4,96.4,65.3,24.2,0,6.9,0,0,63,3279,12.9,32.8,23.2,16.1,15.1,5.2,4190,15.8,10.4,14.2,9.8,12.7,11.4,2.8,9.3,28021,5215,18.9,9,72.2
8600000US21829,21829,839,5.8,27.2,6.2,35.3,12,5.1,6,2.4,32.7,51.8,48.2,100,96.3,3.7,0,0,0,0,94.3,510,11,36.7,42.2,8.6,1.6,2.5,585,29.2,5.5,3.1,25.8,14.2,1,1.9,8,26851,747,16.3,21.6,62.1
8600000US21830,21830,3576,4.1,20,5.8,27.6,18.1,11.3,5.8,7.3,40.3,47.1,52.9,97.3,78.2,17.9,0,1.1,0,0,77.2,2508,9.6,27.8,27.6,20.5,14.6,5.8,2933,16.4,7.5,12.1,12.8,15.8,10.5,7.8,8.8,32294,3576,4.9,2.4,92.6
8600000US21835,21835,765,0,13.7,12.4,20.9,7.6,25.6,17.6,2.1,46.4,57.9,42.1,100,76.6,14.1,0,0,0,9.3,76.6,565,9.2,60.9,25.3,0,4.6,5.3,711,16,11,18.3,17,16.2,2.4,1,11.4,30032,765,2.7,8.2,89
8600000US21837,21837,2784,3.6,16,7.3,21.9,19.5,14.2,12,5.5,45.8,50.5,49.5,98,77.4,20.5,0,0.1,0,0,76.1,2036,10.3,46.6,30.2,8.3,4.6,1.9,2364,18.1,9.8,12.9,18.1,10.9,7.3,2.5,11.5,27842,2779,7.3,11.9,80.9
8600000US21838,21838,1659,3.6,14.8,13,12.9,21.9,12.1,14.4,7.4,47.5,48,52,98.9,71,27.9,0,0,0,0,71,1140,13.9,46.1,15.9,16.8,7.3,3.6,1434,15.8,10.1,12.5,16,13.9,7.7,2.2,10.9,28589,1659,9.3,12.8,77.9
8600000US21840,21840,571,2.5,17.3,14.2,20.3,7.4,22.2,13.7,2.5,40.8,51.8,48.2,100,65.3,34.7,0,0,0,0,65.3,377,13,26.5,24.9,27.3,8.2,9.5,498,11.8,23.7,2.4,6.8,6.6,17.1,3.2,4.6,30167,571,19.4,11,69.5
8600000US21841,21841,1073,3.6,15.4,17.7,23.5,17.1,13.4,5.4,3.8,37.4,55.5,44.5,99.2,92.7,6.4,0,0,0,0,91.1,679,9.4,45.4,29.6,11.3,4.3,3.9,933,28.6,7.3,5.6,12.2,25.1,3.9,2.4,7.4,26719,1073,16.7,1,82.3
8600000US21842,21842,11319,3.7,10,5.4,18.3,14.7,18.1,17.8,12,54.1,50.8,49.2,98.2,95.3,2.1,0.1,0.4,0,0.4,89.5,9156,7.2,32.9,27.1,20,12.9,2.7,10074,16.7,9.3,13.9,13,10.5,10.4,3.4,15.5,29105,11297,9.9,7.5,82.6
8600000US21849,21849,3769,7.4,20.2,6.9,24.3,13.5,13,7.7,7,37.8,51.7,48.3,94.5,83.9,10.6,0,0,0,0,79,2468,15.6,42.7,21.6,15.6,4.5,2.5,2913,13.1,14.7,12.1,15.9,17.4,6.7,1.7,7.9,28523,3756,7.9,16.6,75.4
8600000US21850,21850,2631,7.6,18.3,7.6,30,11.6,14.5,6.5,4,35.4,51.4,48.6,98.9,97.4,0.7,0.1,0.7,0,0,96.4,1750,13.6,51.6,26.4,5.5,2.9,1.9,2103,13.1,7.6,13.8,17.3,17.9,9.7,2.6,5.3,30752,2622,13,9.3,77.7
8600000US21851,21851,7657,4.2,20.7,10.6,22.7,12.3,12.9,7.9,8.7,39.2,47.2,52.8,98.8,57.3,36.3,0.1,4.5,0,0.6,57.3,4942,18.3,39.4,21.1,12.7,8.6,2.7,6014,23,11.6,13,12.6,12.1,5.8,2.9,7.1,21995,7563,18.6,12.1,69.3
8600000US21853,21853,10847,6.6,10.5,31.9,19.9,9.9,9.6,6.4,5.1,25.6,44.8,55.2,95.5,40.7,52.6,0,1.7,0.1,0.5,38.8,5526,17.4,38.7,24.2,13.3,6.4,2.2,9311,27.5,9.4,11.6,8.9,9.2,5.8,1.4,2.8,16017,8125,24.1,16.3,59.6
8600000US21856,21856,892,2.1,15.5,6.3,16.9,19.3,16.9,11.1,11.9,49.3,57.5,42.5,98.9,78.6,20.3,0,0,0,0,76.7,679,8.4,27.4,35.9,21.9,6.3,5.7,735,14.6,9.4,14.8,10.3,16.2,6.3,0,13.1,32642,752,13,10.5,76.5
8600000US21861,21861,1003,4.4,20.5,12.3,20.3,8.5,21.7,5.6,6.7,38.6,45.8,54.2,96.1,91.4,1,0,3.7,0,0,90.8,630,14,43,29.8,8.9,4.3,2.9,782,17.1,9.7,13.3,17.1,15.7,5.1,5.8,3.8,28500,989,20,7.3,72.7
8600000US21862,21862,506,0,3.6,24.1,11.3,48.2,0,0,12.8,48.8,74.3,25.7,100,100,0,0,0,0,0,100,366,19.4,80.6,0,0,0,8.5,488,35.5,2.9,19.9,12.7,0,23.2,0,0,16540,506,24.1,31.2,44.7
8600000US21863,21863,5270,7,13.4,10.4,19.7,12.5,16.9,11.6,8.5,44.6,48,52,98.4,71.9,26.2,0,0.3,0,0,71.2,3648,14.2,34.7,29.5,10.5,11.1,3.4,4357,20.3,11.8,11.6,11.6,10.4,8.6,3.9,9.3,25023,4928,17,9.7,73.3
8600000US21864,21864,899,14.6,15.1,10.7,29.1,15,6.3,7.7,1.4,29.2,61,39,100,74.1,25.9,0,0,0,0,70.1,536,14.4,36.4,40.5,3.5,5.2,5,632,13.8,4.1,20.9,21,11.9,8.2,10,6.5,28052,899,23.7,4.8,71.5
8600000US21865,21865,404,0,4,7.9,17.1,23.8,24.3,3.7,19.3,54.3,56.2,43.8,100,55.7,44.3,0,0,0,0,55.7,356,17.7,50.6,0.8,6.5,24.4,22.5,388,19.8,29.1,0,9.5,16.2,3.9,0,12.4,14511,404,7.2,6.4,86.4
8600000US21866,21866,54,0,18.5,9.3,0,38.9,16.7,16.7,0,50.2,55.6,44.4,100,100,0,0,0,0,0,100,39,15.4,69.2,0,15.4,0,47.5,44,56.8,9.1,20.5,0,0,0,0,13.6,9167,54,66.7,0,33.3
8600000US21867,21867,41,22,0,9.8,0,19.5,0,22,26.8,52.9,48.8,51.2,100,100,0,0,0,0,0,100,28,0,100,0,0,0,56,32,25,0,0,0,62.5,0,0,0,39167,41,51.2,0,48.8
8600000US21869,21869,785,6.1,10.7,6.6,26.6,11.7,18,11.5,8.8,44.9,51.6,48.4,97.6,72.2,25.4,0,0,0,0,71.3,601,18.5,38.3,23.5,10.3,9.5,6.9,701,12.7,15.7,16.4,14.1,13.1,7.6,4.1,10,25503,785,6.8,2.4,90.8
8600000US21871,21871,3140,4.1,6.1,11,35.3,15.8,14.1,5.1,8.5,42.1,71.6,28.4,99.2,54,44.2,0.1,0.8,0,0,53.4,2473,26.2,49.8,16.1,5.1,2.9,1.9,2942,13.3,5.7,9.8,6.1,7.5,1.4,1.3,4.1,19330,1663,14.7,13.5,71.8
8600000US21872,21872,605,0,6.1,9.1,24.6,16,29.4,11.6,3.1,53.1,51.1,48.9,91.6,91.6,0,0,0,0,0,88.6,513,13.5,39.2,36.8,10.5,0,6.1,583,22.6,8.1,20.4,12.5,12.7,11,0,8.2,19509,605,6.6,5.3,88.1
8600000US21874,21874,2447,5.1,11.3,12.5,21.5,16.1,17.2,11.1,5.3,44.9,48.5,51.5,97.1,92.4,3.9,0.2,0.6,0,0,91.4,1741,10.8,39.7,32.9,9.9,6.6,3.9,2118,14.6,7.1,21.2,15.1,16.1,13.2,2.4,6,27635,2444,4,7.3,88.7
8600000US21875,21875,6483,3.8,17.8,10.2,27.7,14,11,11.4,3.9,36.8,47,53,97.4,75.9,18.2,0,2.6,0,0.7,71.8,4416,14.1,38.8,28.1,11.2,7.8,2.4,5248,16.9,9.5,18.2,11.5,9.9,8.1,6.1,6.7,24339,6197,19.4,10.4,70.2
8600000US21890,21890,2692,0,0,17.9,54.6,19.3,5.8,2.4,0,33.5,100,0,99,26.6,66.7,1.6,1.3,0,2.9,26.2,2210,31.1,48.8,16.3,0.5,3.3,3.2,2692,3.6,0.2,3.2,2.8,0,0,0,0.1,21029,0,-,-,-
8600000US21901,21901,18253,7.7,17.1,9.6,26.8,16.7,11.8,6.2,4,36.7,50.8,49.2,99.3,88.4,8.8,0.5,1.3,0.1,0.1,86.8,11968,10.7,33.9,29.4,17,8.9,2,14530,13.6,7.3,13.4,12.2,11.9,10.4,4.7,12.2,31231,18193,13,5,82
8600000US21902,21902,214,0,0,0,12.1,20.1,27.6,19.6,20.6,60.3,90.7,9.3,97.7,53.7,42.5,0,1.4,0,0,53.7,214,33.2,37.9,16.4,6.5,6.1,12.6,214,23.4,19.6,13.1,10.7,5.6,0,0,1.9,13355,116,65.5,14.7,19.8
8600000US21903,21903,6061,4.2,18.9,9.6,26.5,11.9,15.8,6.5,6.6,39.8,46.3,53.7,96.6,83.1,8.6,0.2,2.2,0,2.5,73.9,4075,15.5,41.3,19.4,16.1,7.6,3.5,5020,14.1,5.9,14.4,10.7,10,9.2,1.1,14,30996,6015,14.8,10.1,75.1
8600000US21904,21904,7775,5.1,17.2,11.2,22.3,20.6,10.4,9.7,3.5,39.7,46.1,53.9,97.6,91.9,5.2,0.2,0.3,0,0,86.4,5171,16.4,35.7,33.6,9.3,5.1,2.5,6233,18,6.8,14.1,12.1,11.8,9.3,3.5,13.1,28899,7759,12.1,9.1,78.8
8600000US21911,21911,11129,5.6,21.7,6.9,25.6,15.2,11.4,7.2,6.3,40,52.4,47.6,98.5,96.5,1.4,0.2,0.4,0,0,95.2,7312,11.9,42.2,30.8,10.3,4.9,1.4,8587,13.2,9,12.4,12.4,14.1,11.9,5.7,10,32840,10949,7.5,6.9,85.6
8600000US21912,21912,1406,15.6,25.2,6.5,31.9,11.2,5,2.6,1.8,28.8,48.6,51.4,98.6,98.6,0,0,0,0,0,97.7,740,3.2,27.7,50.3,8.2,10.5,13.2,888,14.4,4.7,22.1,1.2,22.2,10.8,6.1,9.9,38353,1370,0,1.8,98.2
8600000US21913,21913,675,9.5,20.9,5,35.3,13.2,8.7,1.2,6.2,35.7,48.6,51.4,100,73,23,0,0,0,4,71.6,436,16.3,49.8,19.7,5.3,8.9,5.8,528,11,8.1,18.2,12.3,13.3,6.8,3.2,5.7,25875,668,9.1,23.4,67.5
8600000US21914,21914,497,1.2,18.1,2.8,18.7,18.9,15.9,13.5,10.9,50,59,41,100,100,0,0,0,0,0,100,387,8,45,28.9,10.6,7.5,6,420,13.3,7.1,13.6,13.1,7.4,10.2,6.9,17.9,34286,497,12.9,0.6,86.5
8600000US21915,21915,2598,3.2,8.9,9.9,16.2,21.6,23.5,10.8,6,49.4,46.7,53.3,99.3,94.5,4.6,0.2,0,0,0,94.3,2028,6.1,35,35.3,17.9,5.9,2.2,2340,12.1,6.8,15,8,9.4,11.8,4.3,21.8,38382,2594,2.6,4.7,92.7
8600000US21916,21916,36,0,0,5.6,5.6,8.3,8.3,47.2,25,73,100,0,100,94.4,5.6,0,0,0,0,94.4,34,5.9,0,26.5,14.7,52.9,52.9,36,63.9,0,16.7,0,5.6,0,0,0,6696,36,77.8,16.7,5.6
8600000US21917,21917,2985,3.5,21.3,11.8,22.5,21.1,11.4,5.4,2.9,40.2,51.2,48.8,98,94.5,1.7,0.6,0.7,0,0.5,92.5,1893,6.4,38.7,32,16.2,6.7,3.6,2428,13.2,10.5,8.2,12.6,11,12,6.3,17.6,36549,2970,3.6,0.9,95.5
8600000US21918,21918,4021,3.9,14.7,9.5,26.1,15,16.4,8.8,5.6,44,48.9,51.1,99.3,96.8,0.8,0,1.7,0,0,95.9,2888,17.4,38,30.1,10.6,3.9,2,3434,19.8,8.4,9.8,9.2,9.3,8.5,6.3,14.5,30648,3992,17.4,4.9,77.8
8600000US21919,21919,3479,4.8,15.5,5.1,15.1,20,16.7,15.4,7.4,50.3,47.9,52.1,97.3,96,0.1,1.2,0,0,0,96,2596,13.1,42.7,28.4,10.3,5.4,3.2,2926,17.9,5.3,14.5,17.1,14.5,5.9,2.4,11.9,26719,3479,18.9,5.1,76
8600000US21920,21920,231,8.2,0,0,47.2,5.2,26.8,0,12.6,43.6,61.5,38.5,100,100,0,0,0,0,0,100,212,28.8,51.4,19.8,0,0,14.2,212,10.8,0,5.7,42,4.7,18.4,0,14.2,33438,231,0,0,100
8600000US21921,21921,42316,6.1,18.7,9.2,24.6,15,13.7,7.6,5,38.6,49.7,50.3,98.3,86.3,9,0.1,1.7,0,1.1,83,27895,12.8,35.1,27.8,15.2,9.1,1.3,33728,12.8,7.7,13.8,12.6,12.6,9.1,5.1,12.3,31965,41259,9.2,8.3,82.5
8600000US21930,21930,127,0,0,0,16.5,19.7,37.8,11,15,58.1,25.2,74.8,100,100,0,0,0,0,0,100,127,15,39.4,19.7,9.4,16.5,20.1,127,15,0,27.6,16.5,11,8.7,0,9.4,27738,127,26.8,11,62.2
